degree,field,gpa,experience,graduation_year,skills,target_role
MBA,Data Science,9.35,6,2019,"statistics,python",Data Scientist
MTech,AI/ML,6.37,0,2025,"python,deep learning",Software Engineer
BSc,EEE,7.33,5,2020,"power systems,circuits",Electrical Engineer
MCA,IT,7.03,2,2023,"react,html",Web Developer
MTech,Data Science,9.16,2,2023,"statistics,python",Data Scientist
MBA,ECE,6.7,4,2021,"signals,embedded",Electrical Engineer
MCA,ECE,8.87,4,2021,"signals,embedded",Electrical Engineer
MCA,HR,6.75,5,2020,"communication,recruitment",Business Analyst
BTech,HR,8.21,0,2025,"recruitment,communication",Business Analyst
BTech,CSE,6.22,3,2022,"dsa,java",Web Developer
MTech,IT,6.93,1,2024,"react,js",Web Developer
MCA,ECE,6.27,5,2020,"c,embedded",Electrical Engineer
BSc,ECE,7.44,4,2021,"embedded,c",Electrical Engineer
BTech,IT,9.28,5,2020,"css,react",Software Engineer
BTech,AI/ML,6.06,4,2021,"ml,python",Software Engineer
MBA,AI/ML,9.15,0,2025,"deep learning,ml",Data Scientist
MBA,IT,7.24,3,2022,"html,css",Web Developer
MCA,ECE,7.36,1,2024,"c,embedded",Electrical Engineer
BTech,Mechanical,8.48,5,2020,"solidworks,design",Mechanical Engineer
MBA,EEE,7.73,2,2023,"circuits,power systems",Electrical Engineer
BSc,IT,5.81,6,2019,"js,react",Web Developer
MTech,CSE,7.11,7,2018,"sql,python",Web Developer
BSc,ECE,9.27,6,2019,"embedded,signals",Electrical Engineer
BTech,EEE,7.76,4,2021,"power systems,circuits",Electrical Engineer
MTech,EEE,8.84,3,2022,"power systems,circuits",Electrical Engineer
MBA,IT,9.69,2,2023,"css,react",Software Engineer
MCA,CSE,8.34,4,2021,"sql,java",Software Engineer
MTech,Civil,7.99,6,2019,"construction,autocad",Civil Engineer
BSc,AI/ML,9.43,3,2022,"python,ml",Data Scientist
BTech,EEE,8.68,5,2020,"power systems,circuits",Electrical Engineer
MTech,AI/ML,8.84,6,2019,"ml,deep learning",Data Scientist
MBA,IT,9.59,2,2023,"css,react",Software Engineer
MCA,Mechanical,5.65,7,2018,"solidworks,design",Mechanical Engineer
MBA,Civil,7.74,5,2020,"autocad,construction",Civil Engineer
BTech,EEE,6.17,3,2022,"circuits,power systems",Electrical Engineer
BTech,IT,7.51,7,2018,"css,js",Web Developer
MTech,CSE,8.84,5,2020,"java,dsa",Software Engineer
MCA,AI/ML,8.94,1,2024,"python,deep learning",Data Scientist
MCA,ECE,8.6,2,2023,"signals,embedded",Electrical Engineer
BSc,CSE,8.76,6,2019,"dsa,sql",Software Engineer
MBA,IT,6.04,6,2019,"css,html",Web Developer
BSc,Mechanical,6.75,5,2020,"design,solidworks",Mechanical Engineer
MBA,HR,7.45,7,2018,"communication,recruitment",Business Analyst
MCA,IT,6.57,5,2020,"html,js",Web Developer
MCA,EEE,9.05,7,2018,"circuits,power systems",Electrical Engineer
BSc,CSE,9.57,1,2024,"sql,java",Software Engineer
MTech,Data Science,8.48,6,2019,"ml,python",Data Scientist
MBA,AI/ML,6.99,3,2022,"python,ml",Software Engineer
BTech,Mechanical,9.36,7,2018,"solidworks,design",Mechanical Engineer
MTech,Mechanical,6.32,0,2025,"solidworks,design",Mechanical Engineer
BSc,IT,8.19,0,2025,"react,css",Software Engineer
BSc,HR,7.52,5,2020,"recruitment,communication",Business Analyst
MCA,IT,8.09,3,2022,"react,html",Software Engineer
BSc,EEE,6.05,7,2018,"circuits,power systems",Electrical Engineer
MCA,Data Science,5.63,2,2023,"ml,statistics",Software Engineer
MCA,EEE,6.54,2,2023,"circuits,power systems",Electrical Engineer
MTech,IT,7.14,3,2022,"react,css",Web Developer
MCA,Data Science,6.63,5,2020,"python,statistics",Software Engineer
MTech,CSE,7.52,2,2023,"sql,dsa",Web Developer
BSc,AI/ML,8.76,0,2025,"ml,python",Data Scientist
MBA,HR,8.13,2,2023,"communication,recruitment",Business Analyst
BSc,Civil,6.57,1,2024,"autocad,construction",Civil Engineer
MBA,CSE,6.24,4,2021,"java,dsa",Web Developer
MCA,ECE,6.32,2,2023,"embedded,c",Electrical Engineer
MBA,CSE,8.91,3,2022,"dsa,python",Software Engineer
BTech,IT,9.39,5,2020,"js,html",Software Engineer
BTech,Civil,6.67,5,2020,"autocad,construction",Civil Engineer
MBA,EEE,7.41,0,2025,"power systems,circuits",Electrical Engineer
BTech,AI/ML,5.64,2,2023,"ml,python",Software Engineer
MTech,HR,8.08,3,2022,"communication,recruitment",Business Analyst
MTech,HR,6.72,7,2018,"communication,recruitment",Business Analyst
BTech,EEE,7.83,7,2018,"power systems,circuits",Electrical Engineer
MTech,ECE,7.47,0,2025,"embedded,c",Electrical Engineer
MBA,Civil,8.57,2,2023,"autocad,construction",Civil Engineer
BTech,Civil,6.39,0,2025,"autocad,construction",Civil Engineer
BTech,IT,6.48,3,2022,"css,html",Web Developer
MBA,Civil,7.43,0,2025,"autocad,construction",Civil Engineer
BSc,EEE,6.37,2,2023,"power systems,circuits",Electrical Engineer
MBA,EEE,8.1,1,2024,"power systems,circuits",Electrical Engineer
BTech,Data Science,7.23,3,2022,"ml,statistics",Software Engineer
BTech,HR,6.97,1,2024,"recruitment,communication",Business Analyst
MBA,HR,6.77,2,2023,"communication,recruitment",Business Analyst
MCA,IT,5.71,3,2022,"css,html",Web Developer
BSc,HR,7.06,2,2023,"communication,recruitment",Business Analyst
MTech,Civil,9.44,5,2020,"autocad,construction",Civil Engineer
MBA,IT,6.84,0,2025,"react,css",Web Developer
MBA,EEE,7.94,1,2024,"power systems,circuits",Electrical Engineer
MTech,Mechanical,6.09,7,2018,"solidworks,design",Mechanical Engineer
MCA,EEE,8.49,6,2019,"circuits,power systems",Electrical Engineer
MBA,Data Science,7.39,7,2018,"statistics,python",Software Engineer
BSc,AI/ML,9.05,7,2018,"python,ml",Data Scientist
BTech,Civil,8.0,6,2019,"autocad,construction",Civil Engineer
MTech,IT,7.93,5,2020,"js,react",Web Developer
MTech,Mechanical,7.81,2,2023,"solidworks,design",Mechanical Engineer
MTech,Data Science,8.14,3,2022,"sql,statistics",Data Scientist
MTech,HR,8.87,6,2019,"communication,recruitment",Business Analyst
MTech,Civil,7.68,5,2020,"autocad,construction",Civil Engineer
MTech,IT,5.59,3,2022,"js,react",Web Developer
BTech,ECE,8.38,1,2024,"embedded,c",Electrical Engineer
MBA,Data Science,9.14,3,2022,"ml,statistics",Data Scientist
MTech,Data Science,9.38,6,2019,"statistics,sql",Data Scientist
MBA,Data Science,7.57,6,2019,"sql,statistics",Data Scientist
MCA,ECE,8.63,7,2018,"c,signals",Electrical Engineer
MBA,EEE,8.46,3,2022,"circuits,power systems",Electrical Engineer
BTech,ECE,8.61,6,2019,"embedded,c",Electrical Engineer
MBA,IT,9.47,5,2020,"react,html",Software Engineer
BTech,CSE,9.61,2,2023,"dsa,python",Software Engineer
BSc,IT,6.53,6,2019,"css,js",Web Developer
BTech,EEE,5.79,5,2020,"power systems,circuits",Electrical Engineer
BSc,AI/ML,6.16,7,2018,"ml,deep learning",Software Engineer
BTech,EEE,6.03,2,2023,"circuits,power systems",Electrical Engineer
MTech,AI/ML,8.38,4,2021,"ml,python",Data Scientist
BTech,IT,9.45,5,2020,"html,react",Software Engineer
MCA,EEE,9.74,0,2025,"power systems,circuits",Electrical Engineer
MTech,EEE,6.68,2,2023,"power systems,circuits",Electrical Engineer
BSc,HR,8.49,3,2022,"communication,recruitment",Business Analyst
BSc,IT,9.04,7,2018,"css,html",Software Engineer
MBA,CSE,8.49,4,2021,"sql,python",Software Engineer
MTech,CSE,6.25,5,2020,"sql,java",Web Developer
MCA,Mechanical,5.8,3,2022,"solidworks,design",Mechanical Engineer
MBA,IT,7.89,4,2021,"html,react",Web Developer
MCA,HR,5.95,5,2020,"communication,recruitment",Business Analyst
MCA,Mechanical,8.05,2,2023,"solidworks,design",Mechanical Engineer
BSc,AI/ML,7.83,6,2019,"python,deep learning",Data Scientist
BSc,EEE,8.71,4,2021,"circuits,power systems",Electrical Engineer
MTech,AI/ML,8.94,7,2018,"ml,deep learning",Data Scientist
MCA,CSE,8.39,0,2025,"dsa,python",Software Engineer
BTech,EEE,9.23,4,2021,"power systems,circuits",Electrical Engineer
MBA,Mechanical,7.04,0,2025,"solidworks,design",Mechanical Engineer
MTech,CSE,5.77,1,2024,"python,java",Web Developer
MBA,Data Science,5.78,5,2020,"sql,ml",Software Engineer
BSc,ECE,9.44,0,2025,"embedded,signals",Electrical Engineer
MTech,AI/ML,7.56,5,2020,"deep learning,ml",Data Scientist
MCA,EEE,7.6,4,2021,"circuits,power systems",Electrical Engineer
MBA,HR,6.48,3,2022,"recruitment,communication",Business Analyst
MCA,IT,8.55,2,2023,"html,css",Software Engineer
BTech,Data Science,6.23,6,2019,"ml,python",Software Engineer
MTech,Data Science,8.36,2,2023,"statistics,sql",Data Scientist
MCA,Civil,7.09,0,2025,"construction,autocad",Civil Engineer
MTech,EEE,6.02,1,2024,"circuits,power systems",Electrical Engineer
BSc,Civil,8.05,5,2020,"autocad,construction",Civil Engineer
BTech,CSE,8.24,6,2019,"dsa,sql",Software Engineer
MTech,AI/ML,5.59,3,2022,"deep learning,python",Software Engineer
MTech,HR,8.85,7,2018,"recruitment,communication",Business Analyst
MBA,ECE,7.12,0,2025,"signals,c",Electrical Engineer
MCA,EEE,6.12,1,2024,"circuits,power systems",Electrical Engineer
BSc,EEE,9.69,7,2018,"circuits,power systems",Electrical Engineer
BSc,ECE,9.33,0,2025,"embedded,signals",Electrical Engineer
BSc,Mechanical,6.6,2,2023,"design,solidworks",Mechanical Engineer
MBA,Data Science,5.88,3,2022,"ml,python",Software Engineer
BTech,IT,9.34,0,2025,"js,css",Software Engineer
MBA,ECE,7.22,7,2018,"c,signals",Electrical Engineer
MCA,EEE,8.17,3,2022,"circuits,power systems",Electrical Engineer
BTech,IT,9.03,5,2020,"react,js",Software Engineer
MCA,Civil,8.58,1,2024,"construction,autocad",Civil Engineer
MBA,Data Science,8.52,7,2018,"ml,python",Data Scientist
MBA,CSE,6.22,0,2025,"python,dsa",Web Developer
MTech,CSE,8.33,5,2020,"java,sql",Software Engineer
MTech,EEE,8.87,4,2021,"power systems,circuits",Electrical Engineer
BTech,Civil,9.46,7,2018,"construction,autocad",Civil Engineer
MCA,ECE,9.0,4,2021,"c,signals",Electrical Engineer
MCA,Mechanical,7.21,3,2022,"design,solidworks",Mechanical Engineer
MTech,Mechanical,8.25,1,2024,"solidworks,design",Mechanical Engineer
BSc,IT,8.49,3,2022,"react,css",Software Engineer
BTech,Data Science,8.98,0,2025,"sql,statistics",Data Scientist
BTech,Data Science,6.89,3,2022,"ml,python",Software Engineer
BSc,Mechanical,5.8,6,2019,"solidworks,design",Mechanical Engineer
MTech,EEE,8.43,1,2024,"power systems,circuits",Electrical Engineer
MBA,EEE,8.92,2,2023,"circuits,power systems",Electrical Engineer
BTech,ECE,6.67,5,2020,"signals,c",Electrical Engineer
MTech,Civil,7.21,2,2023,"autocad,construction",Civil Engineer
BTech,IT,7.79,1,2024,"css,react",Web Developer
MBA,Mechanical,6.0,2,2023,"solidworks,design",Mechanical Engineer
MTech,HR,7.58,1,2024,"communication,recruitment",Business Analyst
MTech,ECE,5.96,4,2021,"c,signals",Electrical Engineer
MTech,ECE,5.73,0,2025,"embedded,signals",Electrical Engineer
MCA,Civil,6.08,3,2022,"autocad,construction",Civil Engineer
MCA,Mechanical,6.25,7,2018,"solidworks,design",Mechanical Engineer
BSc,ECE,8.82,6,2019,"signals,c",Electrical Engineer
BTech,Data Science,7.85,2,2023,"statistics,python",Data Scientist
MBA,AI/ML,6.53,1,2024,"ml,python",Software Engineer
MBA,ECE,6.84,6,2019,"c,embedded",Electrical Engineer
MTech,ECE,5.97,2,2023,"signals,embedded",Electrical Engineer
MBA,HR,8.33,2,2023,"recruitment,communication",Business Analyst
MCA,IT,6.04,2,2023,"js,css",Web Developer
MTech,IT,8.33,6,2019,"js,html",Software Engineer
BSc,Mechanical,8.49,0,2025,"design,solidworks",Mechanical Engineer
MBA,EEE,7.91,4,2021,"circuits,power systems",Electrical Engineer
MCA,AI/ML,9.37,2,2023,"deep learning,python",Data Scientist
BTech,AI/ML,9.57,3,2022,"ml,deep learning",Data Scientist
MTech,Mechanical,6.71,4,2021,"design,solidworks",Mechanical Engineer
MTech,ECE,7.03,1,2024,"embedded,c",Electrical Engineer
BSc,ECE,8.79,2,2023,"c,signals",Electrical Engineer
MTech,CSE,9.17,5,2020,"sql,dsa",Software Engineer
MTech,EEE,7.03,2,2023,"circuits,power systems",Electrical Engineer
BSc,Civil,6.47,2,2023,"autocad,construction",Civil Engineer
MCA,Mechanical,7.31,7,2018,"solidworks,design",Mechanical Engineer
BSc,IT,8.68,2,2023,"html,js",Software Engineer
MCA,Mechanical,6.61,1,2024,"design,solidworks",Mechanical Engineer
MTech,AI/ML,8.95,2,2023,"python,deep learning",Data Scientist
MCA,Data Science,7.31,7,2018,"sql,ml",Software Engineer
MTech,ECE,8.49,2,2023,"c,signals",Electrical Engineer
BSc,CSE,6.43,3,2022,"python,sql",Web Developer
MBA,Data Science,9.03,5,2020,"python,statistics",Data Scientist
MBA,ECE,7.87,0,2025,"signals,c",Electrical Engineer
BSc,ECE,7.15,2,2023,"signals,embedded",Electrical Engineer
MTech,ECE,9.4,4,2021,"signals,embedded",Electrical Engineer
MBA,ECE,7.47,0,2025,"embedded,signals",Electrical Engineer
BSc,Mechanical,8.38,4,2021,"solidworks,design",Mechanical Engineer
MBA,CSE,9.66,3,2022,"dsa,python",Software Engineer
BTech,Data Science,5.56,3,2022,"sql,statistics",Software Engineer
BTech,HR,5.59,0,2025,"communication,recruitment",Business Analyst
MCA,AI/ML,5.99,4,2021,"ml,python",Software Engineer
MBA,AI/ML,8.65,3,2022,"python,deep learning",Data Scientist
BSc,ECE,5.74,7,2018,"embedded,signals",Electrical Engineer
BTech,EEE,9.62,4,2021,"circuits,power systems",Electrical Engineer
MBA,ECE,6.0,4,2021,"signals,embedded",Electrical Engineer
MCA,Data Science,9.43,3,2022,"python,ml",Data Scientist
MBA,ECE,7.82,7,2018,"c,embedded",Electrical Engineer
MTech,Data Science,5.83,0,2025,"python,statistics",Software Engineer
MCA,CSE,5.94,1,2024,"python,dsa",Web Developer
BSc,CSE,8.61,4,2021,"java,dsa",Software Engineer
MCA,IT,8.41,5,2020,"css,js",Software Engineer
BTech,ECE,8.45,2,2023,"c,signals",Electrical Engineer
BSc,ECE,9.31,0,2025,"signals,c",Electrical Engineer
MBA,EEE,7.32,6,2019,"power systems,circuits",Electrical Engineer
MTech,Civil,9.37,4,2021,"autocad,construction",Civil Engineer
MCA,Civil,9.79,2,2023,"construction,autocad",Civil Engineer
BSc,ECE,9.05,6,2019,"signals,c",Electrical Engineer
BSc,ECE,8.27,0,2025,"c,embedded",Electrical Engineer
MBA,Mechanical,7.34,7,2018,"solidworks,design",Mechanical Engineer
MCA,HR,6.36,3,2022,"communication,recruitment",Business Analyst
BTech,EEE,6.95,6,2019,"power systems,circuits",Electrical Engineer
MTech,AI/ML,8.65,7,2018,"python,deep learning",Data Scientist
MBA,EEE,5.99,3,2022,"circuits,power systems",Electrical Engineer
BTech,Data Science,6.07,4,2021,"sql,ml",Software Engineer
BSc,EEE,6.36,5,2020,"power systems,circuits",Electrical Engineer
BSc,HR,7.92,4,2021,"communication,recruitment",Business Analyst
BSc,Civil,7.65,3,2022,"autocad,construction",Civil Engineer
MBA,ECE,7.4,5,2020,"c,embedded",Electrical Engineer
MCA,AI/ML,6.31,2,2023,"python,deep learning",Software Engineer
MTech,Data Science,8.58,6,2019,"ml,python",Data Scientist
BSc,IT,7.53,6,2019,"react,js",Web Developer
BTech,Data Science,9.76,7,2018,"statistics,python",Data Scientist
BTech,Mechanical,6.03,1,2024,"solidworks,design",Mechanical Engineer
BTech,ECE,7.82,5,2020,"embedded,signals",Electrical Engineer
MTech,Data Science,7.53,2,2023,"statistics,ml",Data Scientist
MCA,ECE,9.76,1,2024,"c,embedded",Electrical Engineer
MCA,Data Science,5.6,2,2023,"statistics,sql",Software Engineer
MCA,Data Science,7.46,7,2018,"statistics,ml",Software Engineer
MCA,IT,8.71,0,2025,"css,react",Software Engineer
MBA,EEE,8.13,6,2019,"power systems,circuits",Electrical Engineer
MBA,IT,6.95,2,2023,"react,css",Web Developer
BTech,IT,7.26,6,2019,"js,css",Web Developer
BSc,AI/ML,6.95,6,2019,"deep learning,python",Software Engineer
MBA,AI/ML,6.96,6,2019,"ml,python",Software Engineer
MCA,Civil,5.69,0,2025,"autocad,construction",Civil Engineer
BSc,ECE,9.47,2,2023,"signals,embedded",Electrical Engineer
BSc,EEE,7.13,3,2022,"circuits,power systems",Electrical Engineer
BSc,IT,8.08,1,2024,"react,css",Software Engineer
BTech,AI/ML,8.96,4,2021,"ml,python",Data Scientist
BTech,AI/ML,6.83,6,2019,"ml,deep learning",Software Engineer
BTech,Mechanical,7.24,3,2022,"design,solidworks",Mechanical Engineer
MTech,HR,7.39,0,2025,"communication,recruitment",Business Analyst
MTech,HR,6.63,0,2025,"communication,recruitment",Business Analyst
BSc,CSE,8.27,6,2019,"java,python",Software Engineer
MTech,CSE,8.85,5,2020,"java,sql",Software Engineer
MCA,Civil,6.81,7,2018,"autocad,construction",Civil Engineer
MBA,EEE,7.24,7,2018,"circuits,power systems",Electrical Engineer
MBA,ECE,6.91,4,2021,"embedded,c",Electrical Engineer
MCA,Data Science,8.18,5,2020,"sql,python",Data Scientist
MTech,Civil,6.68,1,2024,"construction,autocad",Civil Engineer
MBA,Mechanical,9.79,3,2022,"solidworks,design",Mechanical Engineer
BTech,IT,6.7,5,2020,"css,react",Web Developer
BSc,IT,8.51,2,2023,"js,html",Software Engineer
MBA,Data Science,8.25,3,2022,"sql,ml",Data Scientist
BTech,EEE,6.56,0,2025,"circuits,power systems",Electrical Engineer
BSc,CSE,8.93,5,2020,"java,sql",Software Engineer
MTech,IT,5.89,0,2025,"react,js",Web Developer
BTech,Data Science,7.69,4,2021,"statistics,ml",Data Scientist
MBA,ECE,6.66,7,2018,"embedded,c",Electrical Engineer
BTech,CSE,8.97,3,2022,"sql,java",Software Engineer
BTech,IT,8.5,2,2023,"html,js",Software Engineer
BTech,CSE,6.96,1,2024,"python,sql",Web Developer
MBA,EEE,6.71,3,2022,"circuits,power systems",Electrical Engineer
BTech,IT,8.34,1,2024,"css,html",Software Engineer
MTech,EEE,6.92,7,2018,"circuits,power systems",Electrical Engineer
BSc,Mechanical,9.33,0,2025,"solidworks,design",Mechanical Engineer
MTech,AI/ML,6.38,1,2024,"python,deep learning",Software Engineer
MCA,HR,5.58,0,2025,"recruitment,communication",Business Analyst
MBA,ECE,8.11,0,2025,"embedded,c",Electrical Engineer
MBA,Data Science,9.11,2,2023,"python,ml",Data Scientist
BSc,CSE,9.27,7,2018,"sql,dsa",Software Engineer
MCA,AI/ML,7.19,6,2019,"python,deep learning",Software Engineer
MTech,Mechanical,8.02,7,2018,"design,solidworks",Mechanical Engineer
MCA,ECE,9.36,6,2019,"c,signals",Electrical Engineer
MTech,ECE,7.94,0,2025,"embedded,c",Electrical Engineer
MTech,IT,9.62,0,2025,"js,css",Software Engineer
MBA,Data Science,8.19,7,2018,"sql,statistics",Data Scientist
BSc,CSE,6.51,2,2023,"sql,java",Web Developer
BTech,CSE,6.41,3,2022,"dsa,sql",Web Developer
MCA,ECE,8.6,6,2019,"embedded,signals",Electrical Engineer
MBA,IT,9.02,4,2021,"css,js",Software Engineer
MCA,HR,5.87,2,2023,"recruitment,communication",Business Analyst
MBA,HR,9.36,2,2023,"recruitment,communication",Business Analyst
BSc,HR,6.58,4,2021,"communication,recruitment",Business Analyst
MCA,IT,8.77,4,2021,"js,html",Software Engineer
MBA,Civil,6.62,6,2019,"autocad,construction",Civil Engineer
MBA,Mechanical,6.66,2,2023,"solidworks,design",Mechanical Engineer
MCA,Civil,8.7,2,2023,"construction,autocad",Civil Engineer
MBA,CSE,6.28,0,2025,"sql,python",Web Developer
BSc,Civil,9.79,1,2024,"construction,autocad",Civil Engineer
MTech,Mechanical,7.14,1,2024,"solidworks,design",Mechanical Engineer
MTech,Data Science,8.1,2,2023,"ml,sql",Data Scientist
MTech,ECE,9.59,5,2020,"c,signals",Electrical Engineer
MBA,Mechanical,6.28,2,2023,"solidworks,design",Mechanical Engineer
MBA,HR,5.76,7,2018,"recruitment,communication",Business Analyst
MTech,IT,5.87,3,2022,"css,html",Web Developer
MBA,Data Science,5.61,4,2021,"ml,python",Software Engineer
BSc,Civil,7.33,2,2023,"construction,autocad",Civil Engineer
MBA,Civil,6.45,2,2023,"autocad,construction",Civil Engineer
MTech,Data Science,7.11,5,2020,"ml,python",Software Engineer
MBA,Civil,7.27,4,2021,"autocad,construction",Civil Engineer
BTech,HR,6.52,4,2021,"recruitment,communication",Business Analyst
MTech,IT,5.96,5,2020,"react,js",Web Developer
MTech,Mechanical,8.72,6,2019,"design,solidworks",Mechanical Engineer
BTech,AI/ML,5.88,0,2025,"python,ml",Software Engineer
BTech,IT,7.95,4,2021,"react,html",Web Developer
MTech,CSE,7.5,4,2021,"java,dsa",Web Developer
BTech,HR,6.17,1,2024,"communication,recruitment",Business Analyst
BSc,Civil,8.89,3,2022,"construction,autocad",Civil Engineer
MCA,Civil,6.94,7,2018,"autocad,construction",Civil Engineer
MBA,Civil,7.23,4,2021,"autocad,construction",Civil Engineer
BSc,HR,9.16,5,2020,"recruitment,communication",Business Analyst
MTech,Data Science,7.81,2,2023,"statistics,python",Data Scientist
MBA,Mechanical,8.59,7,2018,"solidworks,design",Mechanical Engineer
MTech,IT,7.37,1,2024,"react,html",Web Developer
MBA,CSE,9.37,3,2022,"java,sql",Software Engineer
BSc,Data Science,6.4,5,2020,"python,statistics",Software Engineer
MCA,EEE,9.04,2,2023,"power systems,circuits",Electrical Engineer
MBA,CSE,7.59,4,2021,"python,dsa",Web Developer
MBA,Civil,8.66,4,2021,"construction,autocad",Civil Engineer
MTech,CSE,9.7,2,2023,"dsa,sql",Software Engineer
MCA,IT,8.21,7,2018,"html,css",Software Engineer
BSc,Civil,8.38,6,2019,"construction,autocad",Civil Engineer
BTech,Data Science,9.42,0,2025,"statistics,sql",Data Scientist
MTech,ECE,6.66,4,2021,"signals,c",Electrical Engineer
BSc,AI/ML,5.59,4,2021,"deep learning,ml",Software Engineer
MCA,Data Science,9.03,5,2020,"sql,ml",Data Scientist
BTech,IT,8.01,0,2025,"react,html",Software Engineer
MTech,HR,8.46,7,2018,"communication,recruitment",Business Analyst
MCA,IT,6.88,1,2024,"html,js",Web Developer
MCA,Data Science,5.91,3,2022,"ml,python",Software Engineer
MCA,AI/ML,8.82,0,2025,"python,ml",Data Scientist
BTech,CSE,7.27,6,2019,"java,sql",Web Developer
MBA,EEE,6.71,5,2020,"circuits,power systems",Electrical Engineer
BTech,HR,6.69,6,2019,"recruitment,communication",Business Analyst
MBA,AI/ML,8.76,6,2019,"deep learning,ml",Data Scientist
BTech,CSE,7.74,1,2024,"java,python",Web Developer
BTech,CSE,8.14,5,2020,"java,dsa",Software Engineer
MCA,IT,5.76,1,2024,"html,react",Web Developer
MTech,Civil,9.69,0,2025,"construction,autocad",Civil Engineer
BSc,Civil,6.76,2,2023,"autocad,construction",Civil Engineer
MBA,IT,6.66,6,2019,"html,js",Web Developer
BTech,EEE,6.5,3,2022,"circuits,power systems",Electrical Engineer
MTech,HR,8.47,5,2020,"recruitment,communication",Business Analyst
MTech,Mechanical,7.59,2,2023,"solidworks,design",Mechanical Engineer
BSc,AI/ML,8.08,3,2022,"ml,deep learning",Data Scientist
MBA,Mechanical,8.06,4,2021,"solidworks,design",Mechanical Engineer
MBA,AI/ML,6.33,2,2023,"ml,python",Software Engineer
MCA,Data Science,7.35,5,2020,"statistics,sql",Software Engineer
BSc,CSE,6.82,1,2024,"sql,python",Web Developer
MCA,Mechanical,6.78,2,2023,"solidworks,design",Mechanical Engineer
BTech,CSE,7.36,3,2022,"dsa,python",Web Developer
MTech,Civil,9.15,0,2025,"autocad,construction",Civil Engineer
MCA,EEE,8.28,0,2025,"power systems,circuits",Electrical Engineer
BSc,EEE,7.52,2,2023,"power systems,circuits",Electrical Engineer
MTech,Civil,6.82,1,2024,"autocad,construction",Civil Engineer
MBA,AI/ML,7.66,6,2019,"ml,python",Data Scientist
MCA,IT,9.17,2,2023,"react,html",Software Engineer
BSc,AI/ML,8.74,4,2021,"python,deep learning",Data Scientist
BTech,EEE,8.83,3,2022,"circuits,power systems",Electrical Engineer
BSc,CSE,7.56,2,2023,"dsa,java",Web Developer
MCA,Data Science,7.38,0,2025,"sql,statistics",Software Engineer
BTech,EEE,7.01,0,2025,"power systems,circuits",Electrical Engineer
MTech,HR,7.31,5,2020,"communication,recruitment",Business Analyst
MTech,HR,8.76,3,2022,"communication,recruitment",Business Analyst
MTech,Data Science,9.15,3,2022,"sql,python",Data Scientist
MTech,HR,6.67,2,2023,"communication,recruitment",Business Analyst
MBA,CSE,5.5,0,2025,"python,sql",Web Developer
BSc,CSE,7.43,0,2025,"dsa,java",Web Developer
BTech,EEE,6.64,4,2021,"circuits,power systems",Electrical Engineer
MBA,IT,8.64,5,2020,"react,js",Software Engineer
MBA,AI/ML,9.58,4,2021,"ml,python",Data Scientist
BTech,Civil,8.84,2,2023,"construction,autocad",Civil Engineer
MCA,AI/ML,8.21,2,2023,"python,deep learning",Data Scientist
BSc,IT,9.69,7,2018,"react,js",Software Engineer
MCA,Civil,9.09,0,2025,"construction,autocad",Civil Engineer
MBA,ECE,5.95,3,2022,"embedded,signals",Electrical Engineer
MCA,ECE,8.07,5,2020,"embedded,signals",Electrical Engineer
BTech,Data Science,5.83,0,2025,"statistics,ml",Software Engineer
BTech,ECE,6.74,1,2024,"c,embedded",Electrical Engineer
MCA,AI/ML,9.6,6,2019,"deep learning,python",Data Scientist
MCA,Mechanical,5.7,1,2024,"design,solidworks",Mechanical Engineer
BTech,AI/ML,5.52,5,2020,"python,deep learning",Software Engineer
MBA,Mechanical,8.55,6,2019,"solidworks,design",Mechanical Engineer
MTech,Mechanical,8.49,4,2021,"solidworks,design",Mechanical Engineer
BSc,IT,6.77,6,2019,"html,js",Web Developer
MTech,CSE,5.99,6,2019,"java,python",Web Developer
BSc,EEE,7.06,4,2021,"power systems,circuits",Electrical Engineer
MBA,Mechanical,9.37,3,2022,"design,solidworks",Mechanical Engineer
MCA,IT,9.38,1,2024,"html,css",Software Engineer
MBA,Civil,7.12,0,2025,"autocad,construction",Civil Engineer
MBA,CSE,6.57,0,2025,"sql,python",Web Developer
MTech,EEE,7.32,7,2018,"power systems,circuits",Electrical Engineer
MBA,AI/ML,5.94,0,2025,"deep learning,python",Software Engineer
BSc,Data Science,6.46,5,2020,"ml,sql",Software Engineer
MBA,ECE,9.76,5,2020,"c,embedded",Electrical Engineer
MTech,CSE,9.35,7,2018,"sql,python",Software Engineer
MCA,Civil,8.78,5,2020,"construction,autocad",Civil Engineer
MTech,Civil,7.95,4,2021,"construction,autocad",Civil Engineer
BSc,ECE,6.75,0,2025,"c,embedded",Electrical Engineer
BSc,EEE,9.32,7,2018,"circuits,power systems",Electrical Engineer
BSc,HR,6.8,0,2025,"recruitment,communication",Business Analyst
BSc,IT,7.57,4,2021,"html,js",Web Developer
MBA,CSE,8.21,2,2023,"java,sql",Software Engineer
MCA,HR,8.28,2,2023,"recruitment,communication",Business Analyst
MCA,IT,8.07,4,2021,"js,html",Software Engineer
BTech,CSE,5.88,7,2018,"python,dsa",Web Developer
MBA,Mechanical,5.97,2,2023,"design,solidworks",Mechanical Engineer
BSc,EEE,8.14,2,2023,"circuits,power systems",Electrical Engineer
